tickers,Stock Name,total_signal,total_retrace,1_candle,2_candle,3_candle,4_candle,5_candle,>5_candle,mean_retrace,std_retrace,95_perct,90_perct,75_perct,ex5_95_perct,ex5_90_perct,ex5_75_perct,tickers
APOLLOHOSP,,,,,,,,,,,,,,,,,,APOLLOHOSP
BAJAJFINSV,,2037,2037,998,95,94,75,60,715,343.92930780559647,3314.095680363793,428.7999999999993,98.40000000000009,11.0,2571.4999999999945,802.4000000000001,124.5,BAJAJFINSV
BERGEPAINT,,1910,1910,887,113,99,72,74,665,167.46178010471203,1223.8604103559449,296.54999999999995,91.10000000000014,11.75,1520.5999999999995,523.0000000000001,116.0,BERGEPAINT
BRITANNIA,,2269,2262,1090,104,98,82,71,817,504.1741821396994,5044.874456668084,332.84999999999945,88.90000000000009,13.0,2189.799999999995,591.5999999999997,118.0,BRITANNIA
COLPAL,,2204,2203,982,109,108,85,69,850,309.0962324103495,2978.9994382372806,501.8000000000002,138.0,16.0,1420.3999999999996,695.7000000000002,151.25,COLPAL
DRREDDY,,2110,2105,1074,87,100,79,68,697,182.12114014251782,1576.3171088348151,286.1999999999998,72.0,11.0,1753.599999999998,598.5999999999996,109.0,DRREDDY
GRASIM,,2057,2057,948,100,99,70,55,785,648.0121536217792,8090.110294122851,480.5999999999958,127.0,16.0,2580.2,777.6000000000003,141.0,GRASIM
HDFCBANK,,1819,1814,854,97,72,64,59,668,320.11576626240355,2796.187022987608,549.3999999999978,169.80000000000018,15.0,2680.9499999999994,971.7000000000006,212.0,HDFCBANK
HINDUNILVR,,2038,2038,904,105,94,90,62,783,337.1810598626104,2429.8140428277065,412.14999999999986,126.59999999999991,16.0,3239.4999999999977,669.000000000002,134.0,HINDUNILVR
INDIGO,,1881,1880,915,93,91,59,53,669,651.6409574468086,5829.695137856162,361.6499999999994,95.10000000000014,12.25,3548.8000000000093,737.2000000000007,120.0,INDIGO
ITC,,1628,1616,670,89,81,53,56,667,365.4022277227723,3633.392817898093,428.0,123.5,19.0,2043.3999999999712,596.5999999999997,117.5,ITC
LICI,,0,0,0,0,0,0,0,0,,,,,,,,,LICI
MARICO,,2065,2065,881,123,99,78,67,817,407.7501210653753,3977.900889320934,357.9999999999998,122.60000000000014,17.0,2324.3999999999983,508.7999999999993,125.0,MARICO
NESTLEIND,,2257,2256,1031,135,120,88,57,825,259.49468085106383,1985.002734596274,373.75,102.0,14.0,2104.399999999999,733.2000000000007,138.0,NESTLEIND
ONGC,,1592,1583,607,95,89,66,56,670,502.98041692988,4319.500897561949,717.5999999999981,175.0,19.5,2803.3499999999985,827.8000000000002,150.75,ONGC
PNB,,1061,1041,372,74,75,39,34,447,484.38328530259366,4234.441430769115,626.0,203.0,23.0,3912.1999999999994,821.8000000000001,169.0,PNB
SBILIFE,,2180,2180,926,122,106,96,70,860,471.9252293577982,5319.300875495047,446.99999999999454,131.0,19.0,1660.2499999999989,662.0000000000005,133.25,SBILIFE
TATACONSUM,,1889,1888,829,94,108,73,68,716,353.72775423728814,3952.9825054753414,312.8999999999992,106.79999999999973,14.0,1417.25,434.0,126.0,TATACONSUM
TITAN,,1914,1914,933,79,90,83,53,676,332.1008359456635,3683.8570251553106,331.9999999999982,79.40000000000009,12.75,2199.25,532.0,111.25,TITAN
WIPRO,,1929,1927,797,108,118,79,42,783,490.7182148417229,4671.810089815715,448.79999999999563,116.40000000000009,16.0,2775.6,758.4000000000002,106.5,WIPRO
ADANIENT,,1878,1877,947,89,90,73,54,624,420.9920085242408,3199.5230991930107,424.39999999999964,96.40000000000009,10.0,3870.300000000004,792.5000000000002,162.5,ADANIENT
ASIANPAINT,,1989,1986,915,98,104,82,72,715,162.8877139979859,1375.5887780818816,351.25,96.5,14.0,1992.2999999999959,599.2,121.0,ASIANPAINT
BAJAJHLDNG,,3036,3036,967,323,226,161,126,1233,323.80994729907775,3801.3833125212827,245.5,83.5,13.0,1348.7999999999963,306.9999999999998,82.0,BAJAJHLDNG
BHARTIARTL,,1983,1982,926,95,104,64,68,725,472.4268415741675,5927.550570883342,388.89999999999964,102.90000000000009,14.75,2704.1999999999903,817.4000000000004,118.0,BHARTIARTL
CADILAHC,,,,,,,,,,,,,,,,,,CADILAHC
DABUR,,2008,2007,907,85,110,75,63,767,345.1041355256602,3987.939744991635,317.0,107.40000000000009,17.0,1948.9999999999911,504.5999999999999,116.5,DABUR
EICHERMOT,,2358,2351,1117,104,99,97,69,865,710.3632496809868,7727.82778979295,545.0,116.0,14.0,3565.5999999999995,892.0,141.0,EICHERMOT
HAVELLS,,,,,,,,,,,,,,,,,,HAVELLS
HDFCLIFE,,,,,,,,,,,,,,,,,,HDFCLIFE
ICICIBANK,,,,,,,,,,,,,,,,,,ICICIBANK
INDUSINDBK,,,,,,,,,,,,,,,,,,INDUSINDBK
JINDALSTEL,,,,,,,,,,,,,,,,,,JINDALSTEL
LT,,,,,,,,,,,,,,,,,,LT
MARUTI,,,,,,,,,,,,,,,,,,MARUTI
NIFTY 50,,,,,,,,,,,,,,,,,,NIFTY 50
PEL,,,,,,,,,,,,,,,,,,PEL
POWERGRID,,,,,,,,,,,,,,,,,,POWERGRID
SBIN,,,,,,,,,,,,,,,,,,SBIN
TATAMOTORS,,,,,,,,,,,,,,,,,,TATAMOTORS
TORNTPHARM,,,,,,,,,,,,,,,,,,TORNTPHARM
YESBANK,,,,,,,,,,,,,,,,,,YESBANK
ADANIGREEN,,,,,,,,,,,,,,,,,,ADANIGREEN
AUROPHARMA,,,,,,,,,,,,,,,,,,AUROPHARMA
BAJFINANCE,,,,,,,,,,,,,,,,,,BAJFINANCE
BIOCON,,,,,,,,,,,,,,,,,,BIOCON
CHOLAFIN,,,,,,,,,,,,,,,,,,CHOLAFIN
DIVISLAB,,,,,,,,,,,,,,,,,,DIVISLAB
GAIL,,,,,,,,,,,,,,,,,,GAIL
HCLTECH,,,,,,,,,,,,,,,,,,HCLTECH
HEROMOTOCO,,,,,,,,,,,,,,,,,,HEROMOTOCO
ICICIGI,,,,,,,,,,,,,,,,,,ICICIGI
INDUSTOWER,,,,,,,,,,,,,,,,,,INDUSTOWER
JSWSTEEL,,,,,,,,,,,,,,,,,,JSWSTEEL
LTI,,,,,,,,,,,,,,,,,,LTI
MCDOWELL-N,,,,,,,,,,,,,,,,,,MCDOWELL-N
NIFTY BANK,,,,,,,,,,,,,,,,,,NIFTY BANK
PGHH,,,,,,,,,,,,,,,,,,PGHH
RELIANCE,,,,,,,,,,,,,,,,,,RELIANCE
SHREECEM,,,,,,,,,,,,,,,,,,SHREECEM
TATASTEEL,,,,,,,,,,,,,,,,,,TATASTEEL
ULTRACEMCO,,,,,,,,,,,,,,,,,,ULTRACEMCO
ADANIPORTS,,,,,,,,,,,,,,,,,,ADANIPORTS
AXISBANK,,,,,,,,,,,,,,,,,,AXISBANK
BANDHANBNK,,,,,,,,,,,,,,,,,,BANDHANBNK
BOSCHLTD,,,,,,,,,,,,,,,,,,BOSCHLTD
CIPLA,,,,,,,,,,,,,,,,,,CIPLA
DLF,,,,,,,,,,,,,,,,,,DLF
GLAND,,,,,,,,,,,,,,,,,,GLAND
HDFC,,,,,,,,,,,,,,,,,,HDFC
HINDALCO,,,,,,,,,,,,,,,,,,HINDALCO
ICICIPRULI,,,,,,,,,,,,,,,,,,ICICIPRULI
INFY,,,,,,,,,,,,,,,,,,INFY
JUBLFOOD,,,,,,,,,,,,,,,,,,JUBLFOOD
LUPIN,,,,,,,,,,,,,,,,,,LUPIN
MUTHOOTFIN,,,,,,,,,,,,,,,,,,MUTHOOTFIN
NMDC,,,,,,,,,,,,,,,,,,NMDC
PIDILITIND,,,,,,,,,,,,,,,,,,PIDILITIND
SAIL,,,,,,,,,,,,,,,,,,SAIL
SIEMENS,,,,,,,,,,,,,,,,,,SIEMENS
TCS,,,,,,,,,,,,,,,,,,TCS
UPL,,,,,,,,,,,,,,,,,,UPL
ADANIPORTS,,,,,,,,,,,,,,,,,,ADANIPORTS
AXISBANK,,,,,,,,,,,,,,,,,,AXISBANK
BANDHANBNK,,,,,,,,,,,,,,,,,,BANDHANBNK
BOSCHLTD,,,,,,,,,,,,,,,,,,BOSCHLTD
CIPLA,,,,,,,,,,,,,,,,,,CIPLA
DLF,,,,,,,,,,,,,,,,,,DLF
GLAND,,,,,,,,,,,,,,,,,,GLAND
HDFC,,,,,,,,,,,,,,,,,,HDFC
HINDALCO,,,,,,,,,,,,,,,,,,HINDALCO
ICICIPRULI,,,,,,,,,,,,,,,,,,ICICIPRULI
INFY,,,,,,,,,,,,,,,,,,INFY
JUBLFOOD,,,,,,,,,,,,,,,,,,JUBLFOOD
LUPIN,,,,,,,,,,,,,,,,,,LUPIN
MUTHOOTFIN,,,,,,,,,,,,,,,,,,MUTHOOTFIN
NMDC,,,,,,,,,,,,,,,,,,NMDC
PIDILITIND,,,,,,,,,,,,,,,,,,PIDILITIND
SAIL,,,,,,,,,,,,,,,,,,SAIL
SIEMENS,,,,,,,,,,,,,,,,,,SIEMENS
TCS,,,,,,,,,,,,,,,,,,TCS
UPL,,,,,,,,,,,,,,,,,,UPL
ACC,,,,,,,,,,,,,,,,,,ACC
